claim_id	claim	command_or_script	artifact_path	status	fail_kind	verified_at_sha	verified_at_utc
rebuild_swap_phoenix_idem_b	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_idem_b__20260801T161940Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:40
rebuild_idempotence	full rebuild run twice into separate shadow databases, derived tables diffed row by row over the shared frozen input	prove_idempotence.sh	evidence/rebuild_idempotence__20260801T161940Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:40
oracle_parity_prefix_fail	oracle vs serving BEFORE the double-derive fix in 33cc777: the failure this repo was actually caught by	parity.sh	evidence/oracle_parity__20260801T143648Z__33cc777.tsv	FAIL	finding	33cc777	2026-08-01 14:36:48
runbook_validation	every number in docs/review/validation_runbook_filled.md not already covered by an existing artifact	runbook_validation.sh	evidence/runbook_validation__20260801T163428Z__f5b3744-dirty.tsv	RECORDED		f5b3744-dirty	2026-08-01 16:34:28
unknown_vocabulary	event_type and event values the classifier does not recognise, with counts and what they currently do	vocabulary_check.sh	evidence/unknown_vocabulary__20260801T163757Z__2b1442f-dirty.tsv	RECORDED		2b1442f-dirty	2026-08-01 16:37:57
peak_not_a_rollup	peak minutes differ across filter tuples, and the overall peak is neither the max nor the sum of per-platform peaks	test_peak.sh	evidence/peak_not_a_rollup__20260801T163759Z__2b1442f-dirty.tsv	PASS		2b1442f-dirty	2026-08-01 16:37:59
filter_shapes	read_rows, read_bytes, marks, parts and EXPLAIN key condition per filter shape, cold and warm	bench.sh	evidence/filter_shapes__20260801T163800Z__2b1442f-dirty.tsv	RECORDED		2b1442f-dirty	2026-08-01 16:38:00
runbook_rehearsal	docs/RUNBOOK_UNSEEN_DAY.md executed end to end on a throwaway database, per-step wall clock	rehearse_runbook.sh	evidence/runbook_rehearsal__20260801T163917Z__2b1442f-dirty.tsv	PASS		2b1442f-dirty	2026-08-01 16:39:17
seeding_position	read volume against window position and window width, three windows, two of them sharing an upper bound	seeding_test.sh	evidence/seeding_position__20260801T163947Z__2b1442f-dirty.tsv	RECORDED		2b1442f-dirty	2026-08-01 16:39:47
inventory_phoenix	engines, keys, columns, views and their health, read from system.* on phoenix	inventory.sh	evidence/inventory_phoenix__20260801T165508Z__cd5564b-dirty.tsv	RECORDED		cd5564b-dirty	2026-08-01 16:55:08
derive_phoenix_next	guarded batch derivation into phoenix_next, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_next__20260801T173506Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 17:35:06
replicate_phoenix_to_phoenix_next	copy raw events at a pinned cut and re-derive through the unmodified pipeline	replicate.sh	evidence/replicate_phoenix_to_phoenix_next__20260801T173509Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 17:35:09
schema_drift_phoenix_next	live structure of phoenix_next against sql/schema/, via an empty reference database	schema_drift.sh	evidence/schema_drift_phoenix_next__20260801T173531Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 17:35:31
end_rule_first_vs_last	cost of treating the FIRST VideoSessionEnd as terminal instead of the last, frozen slice	end_rule_measurement.sh	evidence/end_rule_first_vs_last__20260801T174157Z__d8ab38e-dirty.tsv	RECORDED		d8ab38e-dirty	2026-08-01 17:41:57
reach_budget	reach.sql read budget recalibrated to 3x measured after a real TOO_MANY_ROWS breach	reach_recalibration	evidence/reach_budget__20260801T182716Z__4bdd58c-dirty.tsv	PASS		4bdd58c-dirty	2026-08-01 18:27:16
schema_drift_phoenix	live structure of phoenix against sql/schema/, via an empty reference database	schema_drift.sh	evidence/schema_drift_phoenix__20260801T184523Z__d51a80a-dirty.tsv	PASS		d51a80a-dirty	2026-08-01 18:45:23
oracle_parity	oracle (clickhouse local, CSV) vs serving layer, batch and incremental	parity.sh	evidence/oracle_parity__20260801T185729Z__4cf78ae-dirty.tsv	PASS		4cf78ae-dirty	2026-08-01 18:57:29
ingest_10x_phoenix_next	ten generations of the corpus into phoenix_next in rules-compliant batches, with lateness probes	ingest_10x.sh	evidence/ingest_10x_phoenix_next__20260801T190314Z__70d7c87-dirty.tsv	PASS		70d7c87-dirty	2026-08-01 19:03:14
derive_phoenix	guarded batch derivation into phoenix, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix__20260801T190315Z__70d7c87-dirty.tsv	PASS		70d7c87-dirty	2026-08-01 19:03:15
refresh_insights_phoenix_next	incremental insight refresh into phoenix_next, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_next__20260801T191512Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:15:12
rebuild_insights_phoenix_next	insight layer recreated from sql/insights/schema/, with the keys the server actually ended up with	rebuild_insights.sh	evidence/rebuild_insights_phoenix_next__20260801T191512Z__e8e3f60-dirty.tsv	RECORDED		e8e3f60-dirty	2026-08-01 19:15:12
lateness_classifier	each lateness class produced by a real arrival through the landing table	test_lateness_classifier.sh	evidence/lateness_classifier__20260801T192721Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:27:21
insight_parity_audience_snapshot	audience_snapshot: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_audience_snapshot__20260801T192927Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:29:27
insight_parity_cohorts	cohorts: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_cohorts__20260801T192929Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:29:29
insight_parity_health	health: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_health__20260801T192931Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:29:31
insight_parity_session_facts	session_facts: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_session_facts__20260801T192933Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:29:33
insight_bench_audience_snapshot_minute_trend	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for audience_snapshot_minute_trend	bench_insights.sh	evidence/insight_bench_audience_snapshot_minute_trend__20260801T192934Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:29:34
insight_bench_cohorts_retention_curve	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for cohorts_retention_curve	bench_insights.sh	evidence/insight_bench_cohorts_retention_curve__20260801T193011Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:30:11
insight_bench_health_incident_window	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for health_incident_window	bench_insights.sh	evidence/insight_bench_health_incident_window__20260801T193152Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:31:52
insight_bench_session_facts_app_version_health	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for session_facts_app_version_health	bench_insights.sh	evidence/insight_bench_session_facts_app_version_health__20260801T193257Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:32:57
replica_parity_phoenix_next	independently re-derived phoenix_next serving layer against phoenix, frozen slice	replica_parity.sh	evidence/replica_parity_phoenix_next__20260801T193417Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:34:17
